"course_enrolled_sid"	"course_course_enrolled"	"score"
"2030000"	"BIO1301"	"87"
"2030000"	"BIO1300"	"76"
"2030001"	"CST7101"	"57"
"2030002"	"CST8117"	"89"
"2030003"	"MAD8117"	"86"
"2030003"	"MAD8010"	"76"
"2030004"	"ARC8401"	"48"
"2030004"	"ARC8421"	"78"
"2030005"	"CST7101"	"98"
"2030005"	"CST7116"	"87"
"2030006"	"CST8117"	"56"
"2030006"	"CST8209"	"86"
"2030007"	"MAD8010"	"79"
"2030007"	"MAD8117"	"55"
"2030007"	"MAD9011"	"33"
"2030008"	"CST7101"	"67"
"2030008"	"CST7116"	"88"
"2030009"	"CST7101"	"76"
"2030009"	"CST7116"	"87"
"2030009"	"CST7215"	"87"
"2030010"	"BIO1300"	"7"
"2030010"	"BIO1301"	"10"
"2030011"	"BIO1300"	"76"
"2030011"	"BIO1301"	"67"
"2030012"	"CST7215"	"87"
"2030012"	"ENL7777"	"65"
"2030013"	"BIO1300"	"45"
"2030013"	"ENL7777"	"67"
"2030014"	"ARC8401"	"78"
"2030014"	"ARC8421"	"68"
"2030015"	"CHE1302"	"96"
"2030015"	"BIO1300"	"47"
"2030016"	"CST8209"	"76"
"2030016"	"CST8260"	"65"
"2030017"	"CST7215"	"56"
"2030017"	"CST7116"	"45"
"2030018"	"CST7116"	"46"
"2030018"	"ARC8421"	"88"
"2030019"	"BIO1300"	"67"
"2030019"	"BTC1304"	"65"
"2030020"	"CST7101"	"46"
"2030020"	"CST7116"	"68"
"2030021"	"CST8117"	
"2030021"	"CST8209"	
"2030021"	"CST8260"	
"2030022"	"MAD9014"	
"2030023"	"CST8117"	"76"
"2030023"	"CST8209"	"56"
"2030024"	"CST8117"	"79"
"2030024"	"CST8279"	
"2030025"	"MAD8010"	"85"
"2030025"	"MAD8117"	"87"
"2030026"	"ARC8401"	"67"
"2030026"	"ARC8421"	"67"
"2030027"	"BIO1301"	"56"
"2030027"	"BIO1300"	
"2030028"	"MAD9011"	"78"
"2030028"	"MAD8117"	"97"
"2030029"	"ARC8401"	
